Tempo;Corrente;Velocidade;Degrau
0.0;27.18;83.24;0
0.001;27.18;83.24;0
0.002;27.21;83.18;0
0.003;27.2;83.11;0
0.004;27.19;83.04;0
0.005;27.13;82.97;0
0.006;27.15;82.97;0
0.007;27.18;82.97;0
0.008;27.2;82.97;0
0.009000000000000001;27.19;83.04;0
0.01;27.22;83.11;0
0.011;27.24;83.18;0
0.012;27.21;83.24;0
0.013000000000000001;27.19;83.31;0
0.014;27.18;83.31;0
0.015;27.22;83.31;0
0.016;27.24;83.31;0
0.017;27.22;83.24;0
0.018000000000000002;27.19;83.18;0
0.019;27.19;83.11;0
0.02;27.16;83.04;0
0.021;27.17;83.04;0
0.022;27.16;83.04;0
0.023;27.18;83.04;0
0.024;27.2;83.04;0
0.025;27.16;83.04;0
0.026000000000000002;27.12;83.04;0
0.027;27.12;83.04;0
0.028;27.12;82.97;0
0.029;27.14;82.9;0
0.03;27.15;82.84;0
0.031;27.19;82.84;0
0.032;27.2;82.84;0
0.033;27.16;82.84;0
0.034;27.12;82.84;0
0.035;27.14;82.9;0
0.036000000000000004;27.15;82.97;0
0.037;27.16;83.04;0
0.038;27.18;83.11;0
0.039;27.21;83.11;0
0.04;27.21;83.11;0
0.041;27.2;83.11;0
0.042;27.14;83.11;0
0.043000000000000003;27.13;83.04;0
0.044;27.14;82.97;0
0.045;27.17;82.9;0
0.046;27.2;82.9;0
0.047;27.22;82.9;0
0.048;27.23;82.9;0
0.049;27.19;82.9;0
0.05;27.15;82.97;0
0.051000000000000004;27.14;83.04;0
0.052000000000000005;27.16;83.11;0
0.053;27.19;83.18;0
0.054;27.2;83.24;0
0.055;27.19;83.31;0
0.056;27.21;83.38;0
0.057;27.19;83.38;0
0.058;27.18;83.38;0
0.059000000000000004;27.16;83.38;0
0.06;27.2;83.31;0
0.061;27.2;83.24;0
0.062;27.21;83.18;0
0.063;27.19;83.11;0
0.064;27.19;83.04;0
0.065;27.19;83.04;0
0.066;27.2;83.04;0
0.067;27.24;83.04;0
0.068;27.28;83.11;0
0.069;27.28;83.18;0
0.07;27.27;83.24;0
0.07100000000000001;27.22;83.31;0
0.07200000000000001;27.24;83.31;0
0.073;27.23;83.31;0
0.074;27.23;83.31;0
0.075;27.23;83.24;0
0.076;27.26;83.18;0
0.077;27.27;83.11;0
0.078;27.25;83.04;0
0.079;27.22;83.04;0
0.08;27.22;83.04;0
0.081;27.23;83.04;0
0.082;27.21;83.04;0
0.083;27.24;83.04;0
0.084;27.26;83.04;0
0.085;27.25;82.97;0
0.08600000000000001;27.24;82.9;0
0.08700000000000001;27.22;82.84;0
0.088;27.25;82.77;0
0.089;27.24;82.77;0
0.09;27.23;82.77;0
0.091;27.21;82.77;0
0.092;27.22;82.77;0
0.093;27.22;82.84;0
0.094;27.21;82.9;0
0.095;27.25;82.97;0
0.096;27.26;82.97;0
0.097;27.27;82.97;0
0.098;27.25;82.97;0
0.099;27.24;82.97;0
0.1;27.23;82.9;0
0.101;27.21;82.84;0
0.10200000000000001;27.21;82.77;0
0.10300000000000001;27.23;82.77;0
0.10400000000000001;27.26;82.77;0
0.105;27.25;82.77;0
0.106;27.23;82.77;0
0.107;27.2;82.84;0
0.108;27.21;82.9;0
