Tempo;Corrente;Velocidade;Degrau
0.216;27.51;71.4;0
0.217;27.49;71.4;0
0.218;27.47;71.4;0
0.219;27.47;71.4;0
0.22;27.5;71.4;0
0.221;27.52;71.4;0
0.222;27.53;71.4;0
0.223;27.52;71.4;0
0.224;27.51;71.4;0
0.225;27.45;71.4;0
0.226;27.43;71.4;0
0.227;27.44;71.35;0
0.228;27.47;71.31;0
0.229;27.49;71.26;0
0.23;27.52;71.21;0
0.231;27.49;71.17;0
0.232;27.46;71.12;0
0.233;27.45;71.07;0
0.234;27.46;71.03;0
0.23500000000000001;27.47;70.98;0
0.23600000000000002;27.45;70.98;0
0.23700000000000002;27.46;70.98;0
0.23800000000000002;27.46;70.98;0
0.23900000000000002;27.47;70.98;0
0.24;27.46;70.98;0
0.241;27.45;70.98;0
0.242;27.45;70.98;0
0.243;27.46;70.98;0
0.244;27.49;70.98;0
0.245;27.46;70.98;0
0.246;27.45;70.98;0
0.247;27.44;70.98;0
0.248;27.47;70.98;0
0.249;27.49;70.98;0
0.25;27.48;70.98;0
0.251;27.49;70.98;0
0.252;27.49;70.98;0
0.253;27.48;70.98;0
0.254;27.45;70.98;0
0.255;27.43;70.98;0
0.256;27.43;70.98;0
0.257;27.45;70.98;0
0.258;27.48;70.98;0
0.259;27.52;70.98;0
0.26;27.5;70.98;0
0.261;27.47;70.98;0
0.262;27.46;70.98;0
0.263;27.47;70.98;0
0.264;27.47;70.98;0
0.265;27.47;70.98;0
0.266;27.49;70.98;0
0.267;27.5;70.98;0
0.268;27.51;70.98;0
0.269;27.48;70.98;0
0.27;27.48;70.98;0
0.271;27.46;70.98;0
0.272;27.46;70.98;0
0.273;27.48;70.98;0
0.274;27.46;70.98;0
0.275;27.47;70.98;0
0.276;27.49;70.98;0
0.277;27.52;70.98;0
0.278;27.49;70.98;0
0.279;27.51;70.98;0
0.28;27.52;70.98;0
0.281;27.53;70.98;0
0.28200000000000003;27.53;70.98;0
0.28300000000000003;27.51;70.98;0
0.28400000000000003;27.53;70.98;0
0.28500000000000003;27.51;70.98;0
0.28600000000000003;27.52;70.98;0
0.28700000000000003;27.54;70.98;0
0.28800000000000003;27.53;70.98;0
0.289;27.53;70.98;0
0.29;27.53;70.98;0
0.291;27.52;70.98;0
0.292;27.51;70.98;0
0.293;27.47;70.98;0
0.294;27.48;70.98;0
0.295;27.48;70.98;0
0.296;27.51;70.98;0
0.297;27.52;70.98;0
0.298;27.51;70.98;0
0.299;27.51;70.98;0
0.3;27.5;70.98;0
0.301;27.48;70.98;0
0.302;27.46;70.98;0
0.303;27.46;70.98;0
0.304;27.47;70.98;0
0.305;27.5;70.98;0
0.306;27.53;70.98;0
0.307;27.52;70.98;0
0.308;27.51;70.98;0
0.309;27.51;70.98;0
0.31;27.51;70.98;0
0.311;27.52;70.98;0
0.312;27.52;70.98;0
0.313;27.52;70.98;0
0.314;27.52;70.98;0
0.315;27.52;70.98;0
0.316;27.5;70.98;0
0.317;27.49;70.98;0
0.318;27.5;70.98;0
0.319;27.51;70.98;0
0.32;27.49;70.98;0
0.321;27.46;70.98;0
0.322;27.44;70.98;0
0.323;27.42;70.98;0
0.324;27.43;70.98;0
0.325;27.46;70.98;0
0.326;27.5;70.98;0
0.327;27.5;70.98;0
0.328;27.5;70.98;0
0.329;27.5;70.98;0
0.33;27.46;70.98;0
0.331;27.44;70.98;0
0.332;27.44;70.98;0
0.333;27.44;70.98;0
0.334;27.46;70.98;0
0.335;27.43;70.98;0
0.336;27.4;70.98;0
0.337;27.38;70.98;0
0.338;27.37;70.98;0
0.339;27.37;70.98;0
0.34;27.36;70.98;0
0.341;27.39;70.98;0
0.342;27.4;70.98;0
0.343;27.38;70.98;0
0.34400000000000003;27.37;70.98;0
0.34500000000000003;27.33;70.98;0
0.34600000000000003;27.34;70.98;0
0.34700000000000003;27.35;70.98;0
0.34800000000000003;27.35;70.98;0
0.34900000000000003;27.35;70.98;0
0.35000000000000003;27.34;70.98;0
0.35100000000000003;27.34;70.98;0
0.352;27.32;70.98;0
0.353;27.35;70.98;0
0.354;27.38;70.98;0
0.355;27.39;71.03;0
0.356;27.4;71.07;0
0.357;27.4;71.12;0
0.358;27.38;71.17;0
0.359;27.36;71.21;0
0.36;27.36;71.26;0
0.361;27.37;71.31;0
0.362;27.37;71.35;0
0.363;27.41;71.46;0
0.364;27.41;71.51;0
0.365;27.42;71.57;0
0.366;27.4;71.62;0
0.367;27.39;71.68;0
0.368;27.37;71.73;0
0.369;27.35;71.79;0
0.37;27.37;71.85;0
0.371;27.39;71.85;0
0.372;27.39;71.85;0
0.373;27.39;71.85;0
0.374;27.38;71.85;0
0.375;27.39;71.85;0
0.376;27.38;71.85;0
0.377;27.38;71.85;0
0.378;27.4;71.85;0
0.379;27.39;71.85;0
0.38;27.39;71.85;0
0.381;27.38;71.85;0
0.382;27.38;71.85;0
0.383;27.38;71.85;0
0.384;27.39;71.85;0
0.385;27.4;71.85;0
0.386;27.4;71.85;0
0.387;27.38;71.85;0
0.388;27.4;71.85;0
0.389;27.4;71.85;0
0.39;27.4;71.85;0
0.391;27.39;71.85;0
0.392;27.42;71.85;0
0.393;27.42;71.85;0
0.394;27.42;71.85;0
0.395;27.41;71.85;0
0.396;27.39;71.85;0
0.397;27.39;71.85;0
0.398;27.37;71.85;0
0.399;27.39;71.85;0
0.4;27.4;71.85;0
0.401;27.39;71.85;0
0.402;27.39;71.85;0
0.403;27.39;71.85;0
0.404;27.39;71.85;0
0.405;27.37;71.85;0
0.406;27.38;71.85;0
0.40700000000000003;27.39;71.85;0
0.40800000000000003;27.39;71.85;0
0.40900000000000003;27.39;71.85;0
0.41000000000000003;27.37;71.85;0
0.41100000000000003;27.37;71.85;0
0.41200000000000003;27.34;71.85;0
0.41300000000000003;27.33;71.85;0
0.41400000000000003;27.3;71.85;0
0.41500000000000004;27.29;71.85;0
0.41600000000000004;27.32;71.85;0
0.417;27.34;71.85;0
0.418;27.34;71.85;0
0.419;27.34;71.85;0
0.42;27.33;71.85;0
0.421;27.35;71.9;0
0.422;27.35;71.96;0
0.423;27.36;72.01;0
0.424;27.36;72.07;0
0.425;27.37;72.13;0
0.426;27.38;72.18;0
0.427;27.37;72.24;0
0.428;27.34;72.29;0
0.429;27.35;72.29;0
0.43;27.35;72.29;0
0.431;27.37;72.29;0
0.432;27.38;72.29;0
0.433;27.37;72.29;0
0.434;27.35;72.29;0
0.435;27.33;72.29;0
0.436;27.33;72.29;0
0.437;27.33;72.29;0
0.438;27.35;72.29;0
0.439;27.36;72.29;0
0.44;27.38;72.29;0
0.441;27.39;72.29;0
0.442;27.31;72.29;0
0.443;27.34;72.29;0
0.444;27.36;72.29;0
0.445;27.38;72.29;0
0.446;27.39;72.29;0
0.447;27.37;72.29;0
0.448;27.4;72.29;0
0.449;27.39;72.29;0
0.45;27.39;72.29;0
0.451;27.37;72.29;0
0.452;27.4;72.29;0
0.453;27.41;72.29;0
0.454;27.41;72.29;0
0.455;27.41;72.29;0
0.456;27.36;72.29;0
0.457;27.38;72.29;0
0.458;27.42;72.29;0
0.459;27.42;72.29;0
0.46;27.41;72.29;0
0.461;27.39;72.29;0
0.462;27.42;72.29;0
0.463;27.42;72.29;0
0.464;27.41;72.29;0
0.465;27.41;72.29;0
0.466;27.4;72.29;0
0.467;27.44;72.29;0
0.468;27.44;72.29;0
0.46900000000000003;27.45;72.29;0
0.47000000000000003;27.45;72.29;0
0.47100000000000003;27.46;72.29;0
0.47200000000000003;27.49;72.29;0
0.47300000000000003;27.49;72.29;0
0.47400000000000003;27.51;72.29;0
0.47500000000000003;27.52;72.29;0
0.47600000000000003;27.54;72.29;0
0.47700000000000004;27.54;72.29;0
0.47800000000000004;27.52;72.29;0
0.47900000000000004;27.48;72.29;0
0.48;27.44;72.29;0
0.481;27.46;72.29;0
0.482;27.47;72.29;0
0.483;27.47;72.29;0
0.484;27.48;72.29;0
0.485;27.49;72.29;0
0.486;27.5;72.29;0
0.487;27.49;72.35;0
0.488;27.49;72.4;0
0.489;27.48;72.46;0
0.49;27.49;72.46;0
0.491;27.52;72.46;0
0.492;27.51;72.46;0
0.493;27.51;72.46;0
0.494;27.5;72.46;0
0.495;27.51;72.4;0
0.496;27.55;72.35;0
0.497;27.55;72.29;0
0.498;27.53;72.29;0
0.499;27.51;72.29;0
0.5;27.52;72.29;0
0.501;27.51;72.29;0
0.502;27.5;72.29;0
0.503;27.48;72.29;0
0.504;27.5;72.29;0
0.505;27.52;72.29;0
0.506;27.53;72.29;0
0.507;27.5;72.29;0
0.508;27.46;72.29;0
0.509;27.47;72.29;0
0.51;27.49;72.29;0
0.511;27.49;72.29;0
0.512;27.5;72.29;0
0.513;27.49;72.29;0
0.514;27.51;72.29;0
0.515;27.49;72.29;0
0.516;27.48;72.29;0
0.517;27.44;72.29;0
0.518;27.45;72.29;0
0.519;27.48;72.29;0
0.52;27.48;72.29;0
0.521;27.5;72.29;0
0.522;27.49;72.29;0
0.523;27.52;72.29;0
0.524;27.53;72.29;0
0.525;27.53;72.29;0
0.526;27.52;72.29;0
0.527;27.5;72.29;0
0.528;27.53;72.29;0
0.529;27.55;72.29;0
0.53;27.54;72.29;0
0.531;27.53;72.29;0
0.532;27.52;72.29;0
0.533;27.52;72.29;0
0.534;27.52;72.29;0
0.535;27.52;72.29;0
0.536;27.53;72.29;0
0.537;27.55;72.29;0
0.538;27.57;72.29;0
0.539;27.57;72.29;0
0.54;27.57;72.29;0
0.541;27.59;72.29;0
0.542;27.6;72.29;0
0.543;27.6;72.29;0
0.544;27.61;72.29;0
0.545;27.57;72.29;0
0.546;27.53;72.29;0
0.547;27.54;72.29;0
0.548;27.55;72.24;0
0.549;27.55;72.18;0
0.55;27.55;72.13;0
0.551;27.58;72.07;0
0.552;27.58;72.01;0
0.553;27.56;71.96;0
0.554;27.54;71.9;0
0.555;27.53;71.85;0
0.556;27.54;71.85;0
0.557;27.57;71.85;0
0.558;27.6;71.85;0
0.559;27.61;71.85;0
0.56;27.62;71.85;0
0.561;27.6;71.85;0
0.562;27.6;71.85;0
0.5630000000000001;27.59;71.85;0
0.5640000000000001;27.56;71.85;0
0.5650000000000001;27.58;71.85;0
0.5660000000000001;27.59;71.85;0
0.5670000000000001;27.58;71.85;0
0.5680000000000001;27.56;71.85;0
0.5690000000000001;27.56;71.85;0
0.5700000000000001;27.58;71.85;0
0.5710000000000001;27.58;71.85;0
0.5720000000000001;27.59;71.85;0
0.5730000000000001;27.58;71.85;0
0.5740000000000001;27.56;71.85;0
0.5750000000000001;27.56;71.85;0
0.5760000000000001;27.54;71.85;0
0.577;27.54;71.85;0
0.578;27.55;71.85;0
0.579;27.58;71.85;0
0.58;27.58;71.85;0
0.581;27.59;71.85;0
0.582;27.58;71.85;0
0.583;27.53;71.85;0
0.584;27.52;71.85;0
0.585;27.52;71.85;0
0.586;27.52;71.85;0
0.587;27.55;71.85;0
0.588;27.59;71.85;0
0.589;27.61;71.85;0
0.59;27.59;71.85;0
0.591;27.58;71.85;0
0.592;27.59;71.85;0
0.593;27.56;71.85;0
0.594;27.6;71.85;0
0.595;27.6;71.85;0
0.596;27.61;71.85;0
0.597;27.59;71.85;0
0.598;27.57;71.85;0
0.599;27.57;71.85;0
0.6;27.55;71.85;0
0.601;27.57;71.85;0
0.602;27.57;71.85;0
0.603;27.59;71.85;0
0.604;27.6;71.85;0
0.605;27.59;71.85;0
0.606;27.59;71.85;0
0.607;27.61;71.85;0
0.608;27.61;71.85;0
0.609;27.61;71.85;0
0.61;27.62;71.85;0
0.611;27.61;71.85;0
0.612;27.57;71.85;0
0.613;27.57;71.85;0
0.614;27.56;71.85;0
0.615;27.55;71.79;0
0.616;27.56;71.73;0
0.617;27.58;71.68;0
0.618;27.56;71.62;0
0.619;27.57;71.57;0
0.62;27.56;71.51;0
0.621;27.54;71.46;0
0.622;27.54;71.35;0
0.623;27.56;71.31;0
0.624;27.56;71.26;0
0.625;27.57;71.21;0
0.626;27.61;71.17;0
