Tempo;Corrente;Velocidade;Degrau
0.0;27.24;86.31;0
0.001;27.22;86.31;0
0.002;27.23;86.31;0
0.003;27.25;86.38;0
0.004;27.28;86.45;0
0.005;27.27;86.52;0
0.006;27.28;86.58;0
0.007;27.24;86.65;0
0.008;27.23;86.72;0
0.009000000000000001;27.25;86.79;0
0.01;27.29;86.79;0
0.011;27.29;86.79;0
0.012;27.32;86.79;0
0.013000000000000001;27.31;86.79;0
0.014;27.3;86.79;0
0.015;27.27;86.79;0
0.016;27.29;86.79;0
0.017;27.33;86.79;0
0.018000000000000002;27.37;86.79;0
0.019;27.37;86.79;0
0.02;27.37;86.79;0
0.021;27.36;86.79;0
0.022;27.34;86.79;0
0.023;27.3;86.79;0
0.024;27.33;86.79;0
0.025;27.35;86.79;0
0.026000000000000002;27.37;86.79;0
0.027;27.35;86.79;0
0.028;27.32;86.79;0
0.029;27.29;86.79;0
0.03;27.26;86.79;0
0.031;27.26;86.79;0
0.032;27.27;86.79;0
0.033;27.3;86.79;0
0.034;27.28;86.79;0
0.035;27.26;86.79;0
0.036000000000000004;27.25;86.79;0
0.037;27.2;86.79;0
0.038;27.18;86.79;0
0.039;27.19;86.79;0
0.04;27.2;86.79;0
0.041;27.26;86.79;0
0.042;27.25;86.79;0
0.043000000000000003;27.22;86.79;0
0.044;27.21;86.79;0
0.045;27.22;86.79;0
0.046;27.2;86.79;0
0.047;27.2;86.79;0
0.048;27.24;86.79;0
0.049;27.25;86.79;0
0.05;27.25;86.79;0
0.051000000000000004;27.22;86.79;0
0.052000000000000005;27.18;86.79;0
0.053;27.17;86.79;0
0.054;27.15;86.79;0
0.055;27.18;86.79;0
0.056;27.21;86.79;0
0.057;27.22;86.79;0
0.058;27.2;86.79;0
0.059000000000000004;27.17;86.79;0
0.06;27.16;86.79;0
0.061;27.18;86.79;0
0.062;27.17;86.79;0
0.063;27.2;86.72;0
0.064;27.23;86.65;0
0.065;27.24;86.58;0
0.066;27.21;86.52;0
0.067;27.19;86.45;0
0.068;27.18;86.38;0
0.069;27.19;86.31;0
0.07;27.22;86.31;0
0.07100000000000001;27.23;86.31;0
0.07200000000000001;27.28;86.31;0
0.073;27.3;86.31;0
0.074;27.28;86.31;0
0.075;27.27;86.31;0
0.076;27.28;86.31;0
0.077;27.29;86.31;0
0.078;27.29;86.31;0
0.079;27.31;86.31;0
0.08;27.34;86.31;0
0.081;27.3;86.31;0
0.082;27.26;86.31;0
0.083;27.26;86.31;0
0.084;27.27;86.31;0
0.085;27.26;86.31;0
0.08600000000000001;27.26;86.31;0
0.08700000000000001;27.3;86.31;0
0.088;27.28;86.31;0
0.089;27.24;86.31;0
0.09;27.22;86.31;0
0.091;27.23;86.31;0
0.092;27.23;86.31;0
0.093;27.22;86.31;0
0.094;27.23;86.31;0
0.095;27.23;86.31;0
0.096;27.23;86.31;0
0.097;27.18;86.31;0
0.098;27.18;86.31;0
0.099;27.21;86.31;0
0.1;27.25;86.31;0
0.101;27.27;86.31;0
0.10200000000000001;27.3;86.31;0
0.10300000000000001;27.32;86.31;0
0.10400000000000001;27.3;86.31;0
0.105;27.26;86.31;0
0.106;27.27;86.31;0
0.107;27.3;86.38;0
0.108;27.33;86.45;0
0.109;27.3;86.52;0
0.11;27.29;86.58;0
0.111;27.29;86.65;0
0.112;27.27;86.72;0
0.113;27.27;86.79;0
0.114;27.28;86.79;0
0.115;27.31;86.79;0
0.116;27.31;86.79;0
0.117;27.32;86.79;0
0.11800000000000001;27.32;86.79;0
0.11900000000000001;27.32;86.79;0
0.12;27.32;86.79;0
0.121;27.32;86.79;0
0.122;27.34;86.79;0
0.123;27.36;86.79;0
0.124;27.37;86.79;0
0.125;27.36;86.79;0
0.126;27.36;86.79;0
0.127;27.37;86.79;0
0.128;27.38;86.79;0
0.129;27.4;86.79;0
0.13;27.43;86.79;0
0.131;27.44;86.79;0
0.132;27.39;86.79;0
0.133;27.37;86.79;0
0.134;27.35;86.79;0
0.135;27.33;86.79;0
0.136;27.32;86.79;0
0.137;27.33;86.79;0
0.138;27.33;86.79;0
0.139;27.36;86.79;0
0.14;27.31;86.79;0
0.14100000000000001;27.3;86.79;0
0.14200000000000002;27.3;86.79;0
0.14300000000000002;27.31;86.79;0
0.14400000000000002;27.29;86.79;0
0.145;27.31;86.79;0
0.146;27.34;86.79;0
0.147;27.33;86.79;0
0.148;27.29;86.79;0
0.149;27.28;86.79;0
0.15;27.28;86.79;0
0.151;27.31;86.79;0
0.152;27.3;86.79;0
0.153;27.33;86.79;0
0.154;27.35;86.79;0
0.155;27.34;86.79;0
0.156;27.32;86.79;0
0.157;27.3;86.79;0
0.158;27.33;86.79;0
0.159;27.34;86.79;0
0.16;27.33;86.79;0
0.161;27.36;86.79;0
0.162;27.39;86.79;0
0.163;27.35;86.79;0
0.164;27.31;86.79;0
0.165;27.32;86.79;0
0.166;27.35;86.79;0
0.167;27.37;86.79;0
0.168;27.39;86.79;0
0.169;27.41;86.79;0
0.17;27.42;86.79;0
0.171;27.39;86.79;0
0.17200000000000001;27.37;86.79;0
0.17300000000000001;27.38;86.79;0
0.17400000000000002;27.42;86.72;0
0.17500000000000002;27.43;86.65;0
0.176;27.44;86.58;0
0.177;27.44;86.52;0
0.178;27.43;86.45;0
0.179;27.38;86.38;0
0.18;27.38;86.31;0
0.181;27.4;86.31;0
0.182;27.46;86.31;0
0.183;27.45;86.31;0
0.184;27.47;86.31;0
0.185;27.47;86.31;0
0.186;27.4;86.31;0
0.187;27.36;86.31;0
0.188;27.37;86.31;0
0.189;27.39;86.31;0
0.19;27.42;86.31;0
0.191;27.39;86.38;0
0.192;27.39;86.45;0
0.193;27.35;86.52;0
0.194;27.3;86.58;0
0.195;27.29;86.65;0
0.196;27.3;86.72;0
0.197;27.36;86.79;0
0.198;27.35;86.79;0
0.199;27.34;86.79;0
0.2;27.33;86.79;0
0.201;27.29;86.79;0
0.202;27.25;86.79;0
0.203;27.23;86.79;0
0.20400000000000001;27.26;86.79;0
0.20500000000000002;27.32;86.79;0
0.20600000000000002;27.29;86.79;0
0.20700000000000002;27.27;86.79;0
0.20800000000000002;27.27;86.79;0
0.209;27.26;86.79;0
0.21;27.25;86.79;0
0.211;27.29;86.79;0
0.212;27.33;86.79;0
0.213;27.34;86.79;0
0.214;27.32;86.79;0
0.215;27.32;86.79;0
0.216;27.31;86.79;0
0.217;27.3;86.79;0
0.218;27.33;86.79;0
0.219;27.37;86.79;0
0.22;27.41;86.79;0
0.221;27.37;86.79;0
0.222;27.35;86.79;0
0.223;27.33;86.79;0
0.224;27.35;86.79;0
0.225;27.35;86.79;0
0.226;27.37;86.79;0
0.227;27.39;86.79;0
0.228;27.42;86.79;0
0.229;27.36;86.79;0
0.23;27.34;86.79;0
0.231;27.34;86.79;0
0.232;27.34;86.79;0
0.233;27.33;86.79;0
0.234;27.35;86.79;0
0.23500000000000001;27.39;86.79;0
0.23600000000000002;27.41;86.79;0
0.23700000000000002;27.37;86.79;0
0.23800000000000002;27.36;86.79;0
0.23900000000000002;27.34;86.79;0
0.24;27.32;86.79;0
0.241;27.31;86.79;0
0.242;27.32;86.79;0
0.243;27.34;86.79;0
0.244;27.31;86.79;0
0.245;27.26;86.79;0
0.246;27.25;86.79;0
0.247;27.23;86.79;0
0.248;27.21;86.79;0
0.249;27.22;86.79;0
0.25;27.23;86.79;0
0.251;27.24;86.79;0
0.252;27.23;86.79;0
0.253;27.19;86.79;0
0.254;27.18;86.79;0
0.255;27.2;86.79;0
0.256;27.19;86.79;0
0.257;27.19;86.79;0
0.258;27.21;86.79;0
0.259;27.23;86.79;0
0.26;27.21;86.79;0
0.261;27.2;86.79;0
0.262;27.23;86.79;0
0.263;27.27;86.79;0
0.264;27.27;86.79;0
0.265;27.31;86.79;0
0.266;27.31;86.79;0
0.267;27.32;86.79;0
0.268;27.31;86.79;0
0.269;27.3;86.79;0
0.27;27.32;86.79;0
0.271;27.35;86.72;0
0.272;27.34;86.65;0
0.273;27.34;86.58;0
0.274;27.35;86.52;0
0.275;27.36;86.45;0
0.276;27.31;86.38;0
0.277;27.32;86.31;0
0.278;27.34;86.31;0
0.279;27.38;86.31;0
0.28;27.37;86.31;0
0.281;27.37;86.31;0
0.28200000000000003;27.37;86.31;0
0.28300000000000003;27.33;86.31;0
0.28400000000000003;27.31;86.31;0
0.28500000000000003;27.32;86.31;0
0.28600000000000003;27.34;86.31;0
0.28700000000000003;27.36;86.31;0
0.28800000000000003;27.33;86.31;0
0.289;27.32;86.31;0
0.29;27.32;86.31;0
0.291;27.31;86.31;0
0.292;27.3;86.31;0
0.293;27.31;86.31;0
0.294;27.33;86.31;0
0.295;27.3;86.31;0
0.296;27.25;86.31;0
0.297;27.23;86.31;0
0.298;27.21;86.31;0
0.299;27.2;86.31;0
0.3;27.18;86.31;0
0.301;27.2;86.38;0
0.302;27.22;86.45;0
0.303;27.19;86.52;0
0.304;27.18;86.58;0
0.305;27.14;86.65;0
0.306;27.16;86.72;0
0.307;27.16;86.79;0
0.308;27.16;86.79;0
0.309;27.17;86.79;0
0.31;27.17;86.79;0
0.311;27.12;86.79;0
0.312;27.08;86.79;0
0.313;27.09;86.79;0
0.314;27.12;86.79;0
0.315;27.12;86.79;0
0.316;27.16;86.79;0
0.317;27.19;86.79;0
0.318;27.22;86.79;0
0.319;27.18;86.79;0
0.32;27.17;86.79;0
0.321;27.19;86.79;0
0.322;27.21;86.79;0
0.323;27.21;86.79;0
0.324;27.21;86.79;0
0.325;27.24;86.79;0
0.326;27.24;86.79;0
0.327;27.18;86.79;0
0.328;27.16;86.79;0
0.329;27.19;86.79;0
0.33;27.24;86.79;0
0.331;27.24;86.79;0
0.332;27.25;86.79;0
0.333;27.24;86.79;0
0.334;27.22;86.79;0
0.335;27.18;86.79;0
0.336;27.18;86.79;0
0.337;27.2;86.79;0
0.338;27.22;86.79;0
0.339;27.22;86.79;0
0.34;27.24;86.79;0
0.341;27.18;86.79;0
0.342;27.13;86.79;0
0.343;27.1;86.79;0
0.34400000000000003;27.11;86.79;0
0.34500000000000003;27.15;86.79;0
0.34600000000000003;27.16;86.79;0
0.34700000000000003;27.16;86.79;0
0.34800000000000003;27.16;86.79;0
0.34900000000000003;27.15;86.79;0
0.35000000000000003;27.1;86.79;0
0.35100000000000003;27.08;86.79;0
0.352;27.11;86.79;0
0.353;27.14;86.79;0
0.354;27.12;86.79;0
0.355;27.1;86.79;0
0.356;27.06;86.79;0
0.357;27.06;86.79;0
0.358;27.02;86.79;0
0.359;27.02;86.79;0
0.36;27.06;86.79;0
0.361;27.09;86.79;0
0.362;27.08;86.79;0
0.363;27.06;86.79;0
0.364;27.05;86.79;0
0.365;27.02;86.79;0
0.366;26.99;86.79;0
0.367;27.03;86.79;0
0.368;27.07;86.79;0
0.369;27.11;86.79;0
0.37;27.09;86.79;0
0.371;27.08;86.79;0
0.372;27.07;86.79;0
0.373;27.09;86.79;0
0.374;27.09;86.79;0
0.375;27.13;86.72;0
0.376;27.17;86.65;0
0.377;27.19;86.58;0
0.378;27.15;86.52;0
0.379;27.14;86.45;0
0.38;27.12;86.38;0
0.381;27.11;86.31;0
0.382;27.11;86.31;0
0.383;27.13;86.31;0
0.384;27.16;86.31;0
0.385;27.18;86.31;0
0.386;27.16;86.31;0
0.387;27.13;86.31;0
0.388;27.12;86.31;0
0.389;27.11;86.31;0
0.39;27.12;86.31;0
0.391;27.14;86.31;0
0.392;27.17;86.31;0
0.393;27.12;86.31;0
0.394;27.09;86.31;0
0.395;27.08;86.31;0
0.396;27.05;86.31;0
0.397;27.03;86.31;0
0.398;27.05;86.31;0
0.399;27.1;86.38;0
0.4;27.12;86.45;0
0.401;27.1;86.52;0
0.402;27.07;86.58;0
0.403;27.04;86.65;0
0.404;27.05;86.72;0
0.405;27.03;86.79;0
0.406;27.04;86.79;0
0.40700000000000003;27.05;86.79;0
0.40800000000000003;27.04;86.79;0
0.40900000000000003;26.98;86.79;0
0.41000000000000003;26.95;86.79;0
0.41100000000000003;26.97;86.79;0
0.41200000000000003;26.98;86.79;0
0.41300000000000003;26.97;86.79;0
0.41400000000000003;27.0;86.79;0
0.41500000000000004;27.02;86.79;0
0.41600000000000004;27.04;86.79;0
0.417;27.0;86.79;0
0.418;26.99;86.79;0
0.419;27.0;86.79;0
0.42;27.03;86.79;0
0.421;27.06;86.79;0
0.422;27.08;86.79;0
0.423;27.11;86.79;0
0.424;27.12;86.79;0
0.425;27.09;86.79;0
0.426;27.1;86.79;0
0.427;27.13;86.79;0
0.428;27.18;86.79;0
0.429;27.2;86.79;0
0.43;27.21;86.79;0
0.431;27.23;86.79;0
0.432;27.16;86.79;0
0.433;27.15;86.79;0
0.434;27.16;86.79;0
0.435;27.18;86.79;0
0.436;27.2;86.79;0
0.437;27.21;86.79;0
0.438;27.23;86.79;0
0.439;27.23;86.79;0
0.44;27.2;86.79;0
0.441;27.21;86.79;0
0.442;27.22;86.79;0
0.443;27.25;86.79;0
0.444;27.23;86.79;0
0.445;27.23;86.79;0
0.446;27.21;86.79;0
0.447;27.2;86.79;0
0.448;27.18;86.79;0
0.449;27.19;86.79;0
0.45;27.22;86.79;0
0.451;27.23;86.79;0
0.452;27.21;86.79;0
0.453;27.2;86.79;0
0.454;27.17;86.79;0
0.455;27.18;86.79;0
0.456;27.17;86.79;0
0.457;27.18;86.79;0
0.458;27.2;86.79;0
0.459;27.21;86.79;0
0.46;27.16;86.79;0
0.461;27.14;86.79;0
0.462;27.14;86.79;0
0.463;27.14;86.79;0
0.464;27.13;86.79;0
0.465;27.16;86.79;0
0.466;27.18;86.79;0
0.467;27.17;86.79;0
0.468;27.15;86.79;0
0.46900000000000003;27.16;86.79;0
0.47000000000000003;27.17;86.79;0
0.47100000000000003;27.18;86.79;0
0.47200000000000003;27.21;86.79;0
0.47300000000000003;27.22;86.79;0
0.47400000000000003;27.23;86.79;0
0.47500000000000003;27.22;86.79;0
0.47600000000000003;27.19;86.79;0
0.47700000000000004;27.19;86.79;0
0.47800000000000004;27.22;86.79;0
0.47900000000000004;27.23;86.79;0
0.48;27.26;86.79;0
0.481;27.3;86.79;0
0.482;27.29;86.79;0
0.483;27.27;86.79;0
0.484;27.26;86.79;0
0.485;27.29;86.79;0
0.486;27.27;86.79;0
0.487;27.29;86.79;0
0.488;27.3;86.79;0
0.489;27.29;86.79;0
0.49;27.26;86.79;0
0.491;27.24;86.79;0
0.492;27.26;86.72;0
0.493;27.3;86.65;0
0.494;27.29;86.58;0
0.495;27.29;86.52;0
0.496;27.3;86.45;0
0.497;27.3;86.38;0
0.498;27.26;86.31;0
0.499;27.25;86.31;0
0.5;27.25;86.31;0
0.501;27.26;86.31;0
0.502;27.25;86.38;0
0.503;27.26;86.45;0
0.504;27.23;86.52;0
0.505;27.22;86.58;0
0.506;27.17;86.65;0
0.507;27.16;86.72;0
0.508;27.21;86.79;0
0.509;27.24;86.79;0
0.51;27.24;86.79;0
0.511;27.25;86.79;0
0.512;27.23;86.79;0
0.513;27.19;86.79;0
0.514;27.16;86.79;0
0.515;27.16;86.79;0
0.516;27.18;86.79;0
0.517;27.19;86.79;0
0.518;27.2;86.79;0
0.519;27.17;86.79;0
0.52;27.17;86.79;0
0.521;27.13;86.79;0
0.522;27.12;86.79;0
0.523;27.16;86.79;0
0.524;27.2;86.79;0
0.525;27.19;86.79;0
0.526;27.17;86.79;0
0.527;27.16;86.79;0
0.528;27.15;86.79;0
0.529;27.15;86.79;0
