Tempo;Corrente;Velocidade;Degrau
0.0;26.8;90.76;0
0.001;26.75;90.68;0
0.002;26.76;90.59;0
0.003;26.78;90.5;0
0.004;26.78;90.42;0
0.005;26.79;90.33;0
0.006;26.77;90.33;0
0.007;26.76;90.42;0
0.008;26.73;90.5;0
0.009000000000000001;26.71;90.59;0
0.01;26.71;90.68;0
0.011;26.76;90.76;0
0.012;26.78;90.76;0
0.013000000000000001;26.79;90.76;0
0.014;26.79;90.76;0
0.015;26.77;90.76;0
0.016;26.75;90.76;0
0.017;26.76;90.76;0
0.018000000000000002;26.82;90.76;0
0.019;26.83;90.76;0
0.02;26.86;90.68;0
0.021;26.86;90.59;0
0.022;26.88;90.5;0
0.023;26.85;90.42;0
0.024;26.86;90.33;0
0.025;26.89;90.25;0
0.026000000000000002;26.91;90.25;0
0.027;26.93;90.33;0
0.028;26.93;90.42;0
0.029;26.93;90.5;0
0.03;26.9;90.59;0
0.031;26.88;90.68;0
0.032;26.88;90.76;0
0.033;26.92;90.76;0
0.034;26.93;90.76;0
0.035;26.93;90.76;0
0.036000000000000004;26.93;90.76;0
0.037;26.92;90.76;0
0.038;26.89;90.76;0
0.039;26.89;90.76;0
0.04;26.92;90.68;0
0.041;26.95;90.59;0
0.042;26.95;90.5;0
0.043000000000000003;26.95;90.42;0
0.044;26.92;90.33;0
0.045;26.88;90.16;0
0.046;26.87;90.16;0
0.047;26.92;90.16;0
0.048;26.94;90.16;0
0.049;26.97;90.16;0
0.05;26.95;90.16;0
0.051000000000000004;26.94;90.16;0
0.052000000000000005;26.91;90.25;0
0.053;26.9;90.33;0
0.054;26.92;90.42;0
0.055;26.92;90.5;0
0.056;26.94;90.59;0
0.057;26.93;90.68;0
0.058;26.93;90.68;0
0.059000000000000004;26.9;90.68;0
0.06;26.88;90.68;0
0.061;26.86;90.68;0
0.062;26.88;90.68;0
0.063;26.9;90.68;0
0.064;26.9;90.68;0
0.065;26.88;90.68;0
0.066;26.87;90.59;0
0.067;26.85;90.5;0
0.068;26.83;90.42;0
0.069;26.84;90.33;0
0.07;26.87;90.25;0
