Tempo;Corrente;Velocidade;Degrau
0.0;27.24;76.75;0
0.001;27.26;76.75;0
0.002;27.29;76.75;0
0.003;27.29;76.75;0
0.004;27.29;76.75;0
0.005;27.29;76.75;0
0.006;27.29;76.75;0
0.007;27.3;76.75;0
0.008;27.29;76.75;0
0.009000000000000001;27.29;76.75;0
0.01;27.3;76.75;0
0.011;27.34;76.75;0
0.012;27.35;76.75;0
0.013000000000000001;27.36;76.75;0
0.014;27.35;76.75;0
0.015;27.35;76.75;0
0.016;27.35;76.7;0
0.017;27.37;76.64;0
0.018000000000000002;27.37;76.64;0
0.019;27.39;76.64;0
0.02;27.41;76.64;0
0.021;27.4;76.64;0
0.022;27.4;76.64;0
0.023;27.38;76.64;0
0.024;27.38;76.7;0
0.025;27.4;76.75;0
0.026000000000000002;27.4;76.75;0
0.027;27.4;76.75;0
0.028;27.39;76.75;0
0.029;27.43;76.75;0
0.03;27.41;76.75;0
0.031;27.41;76.75;0
0.032;27.42;76.75;0
0.033;27.42;76.75;0
0.034;27.42;76.75;0
0.035;27.41;76.75;0
0.036000000000000004;27.43;76.75;0
0.037;27.44;76.75;0
0.038;27.46;76.75;0
0.039;27.48;76.75;0
0.04;27.47;76.75;0
0.041;27.48;76.75;0
0.042;27.49;76.75;0
0.043000000000000003;27.49;76.75;0
0.044;27.49;76.75;0
0.045;27.49;76.75;0
0.046;27.52;76.75;0
0.047;27.5;76.7;0
0.048;27.48;76.64;0
0.049;27.48;76.64;0
0.05;27.45;76.64;0
0.051000000000000004;27.45;76.64;0
0.052000000000000005;27.45;76.64;0
0.053;27.45;76.64;0
0.054;27.46;76.64;0
0.055;27.49;76.7;0
0.056;27.5;76.75;0
0.057;27.49;76.75;0
0.058;27.5;76.75;0
0.059000000000000004;27.5;76.75;0
0.06;27.51;76.75;0
0.061;27.53;76.75;0
0.062;27.54;76.75;0
0.063;27.54;76.75;0
0.064;27.58;76.75;0
0.065;27.57;76.75;0
0.066;27.57;76.75;0
0.067;27.57;76.75;0
0.068;27.56;76.75;0
0.069;27.56;76.75;0
0.07;27.53;76.75;0
0.07100000000000001;27.54;76.7;0
0.07200000000000001;27.54;76.64;0
0.073;27.56;76.59;0
0.074;27.56;76.53;0
0.075;27.57;76.48;0
0.076;27.57;76.42;0
0.077;27.55;76.36;0
0.078;27.55;76.31;0
0.079;27.53;76.31;0
0.08;27.54;76.31;0
0.081;27.54;76.36;0
0.082;27.56;76.42;0
0.083;27.57;76.48;0
0.084;27.57;76.53;0
0.085;27.57;76.59;0
0.08600000000000001;27.57;76.64;0
0.08700000000000001;27.54;76.7;0
0.088;27.54;76.75;0
0.089;27.54;76.75;0
0.09;27.55;76.75;0
0.091;27.57;76.75;0
0.092;27.55;76.75;0
0.093;27.55;76.75;0
0.094;27.54;76.75;0
0.095;27.54;76.75;0
0.096;27.54;76.75;0
0.097;27.54;76.75;0
0.098;27.54;76.75;0
0.099;27.56;76.75;0
0.1;27.59;76.75;0
0.101;27.59;76.75;0
0.10200000000000001;27.59;76.75;0
0.10300000000000001;27.59;76.7;0
0.10400000000000001;27.59;76.64;0
0.105;27.59;76.59;0
0.106;27.59;76.53;0
0.107;27.59;76.48;0
0.108;27.61;76.42;0
0.109;27.6;76.36;0
0.11;27.57;76.31;0
0.111;27.57;76.31;0
0.112;27.56;76.36;0
0.113;27.55;76.42;0
0.114;27.52;76.48;0
0.115;27.54;76.53;0
0.116;27.55;76.59;0
0.117;27.59;76.64;0
0.11800000000000001;27.61;76.7;0
0.11900000000000001;27.61;76.75;0
0.12;27.61;76.75;0
0.121;27.61;76.75;0
0.122;27.62;76.75;0
0.123;27.63;76.75;0
0.124;27.62;76.75;0
0.125;27.63;76.75;0
0.126;27.64;76.7;0
0.127;27.63;76.64;0
0.128;27.63;76.59;0
0.129;27.62;76.53;0
0.13;27.61;76.48;0
0.131;27.61;76.42;0
0.132;27.6;76.36;0
0.133;27.6;76.31;0
0.134;27.57;76.31;0
0.135;27.59;76.31;0
0.136;27.6;76.31;0
0.137;27.61;76.31;0
0.138;27.61;76.31;0
0.139;27.61;76.31;0
0.14;27.58;76.31;0
0.14100000000000001;27.56;76.31;0
0.14200000000000002;27.55;76.31;0
0.14300000000000002;27.55;76.31;0
0.14400000000000002;27.56;76.36;0
0.145;27.54;76.42;0
0.146;27.54;76.48;0
0.147;27.54;76.53;0
0.148;27.51;76.59;0
0.149;27.5;76.64;0
0.15;27.5;76.7;0
0.151;27.51;76.75;0
0.152;27.53;76.75;0
0.153;27.55;76.75;0
0.154;27.52;76.75;0
0.155;27.51;76.75;0
0.156;27.51;76.75;0
0.157;27.51;76.75;0
0.158;27.52;76.7;0
0.159;27.53;76.64;0
0.16;27.53;76.59;0
0.161;27.54;76.53;0
0.162;27.56;76.48;0
0.163;27.55;76.42;0
0.164;27.55;76.36;0
0.165;27.54;76.31;0
0.166;27.54;76.31;0
0.167;27.54;76.31;0
0.168;27.55;76.31;0
0.169;27.55;76.31;0
0.17;27.54;76.31;0
0.171;27.53;76.31;0
0.17200000000000001;27.5;76.31;0
0.17300000000000001;27.49;76.31;0
0.17400000000000002;27.5;76.31;0
0.17500000000000002;27.49;76.36;0
0.176;27.48;76.42;0
0.177;27.47;76.48;0
0.178;27.47;76.53;0
0.179;27.49;76.59;0
0.18;27.49;76.64;0
0.181;27.5;76.7;0
0.182;27.51;76.75;0
